REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NR,ZONE_NR,MPA_NR,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE,survey_type,analysis_group,strat_cora
FLK,1011,1,2022,8,31,CONT_MR,0.153333333,25.7347,-80.11502,4149232,12,1,0,0,CD0,9.1,9.1,10,SID SIDE,1,0,16,8,3,0,0,PB,A,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,ACR CERV,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,AGA AGAR,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,AGA FRAG,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,AGA HUMI,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,AGA LAMA,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,CLA ABRU,1,0,6,6,4,60,0,N,A,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,COL NATA,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,DIC STOK,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,DIP LABY,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,EUS FAST,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,FAV FRAG,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,HEL CUCU,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
FLK,1006,1,2022,8,2,ISOL_LR,0.071333333,24.9494,-80.55943,3528306,10,1,0,0,CD0,4,4,10,ISO RIGI,0,0,.,.,.,.,.,.,.,NCRMP,NCRMP_GRP,CFK01
