analysis_group,SPECIES_CD,n,Lbar,SE_L,cv_L,L_LCI,L_UCI
MIR_GRP,ACR CERV,98,21.066679960796456,6.0880320023468855,0.2889886785044566,8.946339294092388,33.18702062750052
MIR_GRP,ACR PALM,86,12.5,0.05228970074618509,0.004183176059694807,12.395600244012503,12.604399755987497
MIR_GRP,COL NATA,98,48.55608056911938,8.518716402570751,0.1754407749291954,31.596618989023327,65.51554214921543
MIR_GRP,DIC STOK,98,8.147384016060254,2.153099924336054,0.264268864716801,3.8608913428371467,12.433876689283363
MIR_GRP,DIP LABY,98,28.97430115407227,3.290472858937662,0.11356521910366056,22.423472907851796,35.52512940029274
MIR_GRP,EUS FAST,98,7.739040813522058,0.5488823737544721,0.07092382466770766,6.646299948610563,8.831781678433552
MIR_GRP,MEA MEAN,98,16,0,0,16,16
MIR_GRP,MON CAVE,98,22.748793577527355,3.641455002178769,0.16007244471091514,15.499213560230082,29.998373594824628
MIR_GRP,PSE CLIV,98,22.873962209737623,3.9174135846246383,0.17126082262027018,15.074990857464563,30.672933562010684
MIR_GRP,PSE STRI,98,21.287085292996064,3.4554669113457646,0.16232691623980536,14.407779121167561,28.166391464824567
NCRMP_GRP,ACR CERV,243,26.662217908274698,1.3109304494564373,0.04916809449110331,24.078821071020847,29.24561474552855
NCRMP_GRP,ACR PALM,4,NA,0,NA,NA,NA
NCRMP_GRP,COL NATA,243,38.57269613504305,7.092276566655594,0.18386779451002142,24.596237766237344,52.54915450384876
NCRMP_GRP,DIC STOK,243,8.185684528730167,0.7653689390088273,0.09350090836295126,6.677403370727022,9.693965686733312
NCRMP_GRP,DIP LABY,243,11.14037214689117,1.9369668992247366,0.17386913773479876,7.323270970091581,14.95747332369076
NCRMP_GRP,EUS FAST,243,7.486706158569466,0.9245201677106567,0.12348824010575445,5.66479220559703,9.308620111541902
NCRMP_GRP,MEA MEAN,243,20.580500344339317,10.195297442900417,0.4953862769281332,0.4890460801011436,40.671954608577494
NCRMP_GRP,MON CAVE,243,29.386658073881616,3.176374982562525,0.10808901694696736,23.127106251520072,35.646209896243164
NCRMP_GRP,PSE CLIV,243,25.19548541855723,1.5778332272894469,0.06262364868459035,22.08611423049479,28.30485660661967
NCRMP_GRP,PSE STRI,243,13.293280210946644,1.3964421953359363,0.10504872937125069,10.541368885418645,16.045191536474643
