analysis_group,REGION,YEAR,PRIMARY_SAMPLE_UNIT,SUB_REGION_NR,ZONE_NR,PROT,strat_cora,METERS_COMPLETED,survey_type,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,species_cd,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,ACR CERV,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,AGA AGAR,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,AGA FRAG,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,AGA HUMI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,AGA LAMA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,CLA ABRU,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,COL NATA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,DIC STOK,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,DIP LABY,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,EUS FAST,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,FAV FRAG,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,HEL CUCU,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,ISO RIGI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MAD AURE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MAD DECA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MAD FORM,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MAD SENA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MAN AREO,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MEA MEAN,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MON CAVE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MUS ANGU,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MYC ALIC,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MYC LAMA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,OCU DIFF,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,ORB FRAN,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR ASTR,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR DIVA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR FURC,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR PORI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,PSE CLIV,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,PSE STRI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SCO CUBE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SCO LACE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SID RADI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SID SIDE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SID SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SOL HYAD,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,STE INTE,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,ACR PALM,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,AGA SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,ISO SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,MYC FERO,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,OCU SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,PHY AMER,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,POR BRAN,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9001,8,1,2,CFK01,10,MIR,24.61778,-81.38014,2472501,SCO SPE.,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,ACR CERV,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,AGA AGAR,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,AGA FRAG,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,AGA HUMI,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,AGA LAMA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,CLA ABRU,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,COL NATA,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,DIC STOK,0,0,,,,,,AA,A
MIR_GRP,FLK,2022,9003,8,1,2,CFK01,10,MIR,24.61499,-81.39347,2459712,DIP LABY,0,0,,,,,,AA,A
