PV_TYPE,ANALYSIS_GROUP,SPECIES_CD,n,PVbar,SE_PV,CV_PV,PV_LCI,PV_UCI
Bleach_All,MIR_GRP,ACR CERV,121,0,0,NA,0,0
Bleach_All,MIR_GRP,COL NATA,121,0,0,NA,0,0
Bleach_All,MIR_GRP,DIC STOK,121,0.12783934082718199,0.08659907970642655,0.6774055556457729,-0.04410516197400244,0.2997838436283664
Bleach_All,MIR_GRP,DIP LABY,121,0,0,NA,0,0
Bleach_All,MIR_GRP,EUS FAST,121,0.6122623574144485,0.12607380074063496,0.20591466911837916,0.36193987063869854,0.8625848441901984
Bleach_All,MIR_GRP,MEA MEAN,121,0,0,NA,0,0
Bleach_All,MIR_GRP,MON CAVE,121,0.6573953084041799,0.12028319805985445,0.18296935880458384,0.4185701989936553,0.8962204178147046
Bleach_All,MIR_GRP,PSE CLIV,121,0.3333333333333334,0.0494114902981203,0.14823447089436087,0.2352256610488513,0.43144100561781557
Bleach_All,MIR_GRP,PSE STRI,121,0.9478957986512796,0.2254368654156225,0.23782874207944266,0.5002856177076345,1.3955059795949247
Bleach_All,NCRMP_GRP,ACR CERV,356,0,0,NA,0,0
Bleach_All,NCRMP_GRP,COL NATA,356,0.1331639072672035,0.03993632197969683,0.2999035008755155,0.05460114737798437,0.21172666715642263
Bleach_All,NCRMP_GRP,DIC STOK,356,0.13430028592977428,0.04228251985188014,0.31483566516001094,0.05112208398310571,0.21747848787644286
Bleach_All,NCRMP_GRP,DIP LABY,356,0.1292465723531745,0.05162822734811449,0.399455292377403,0.027683488233460396,0.2308096564728886
Bleach_All,NCRMP_GRP,EUS FAST,356,0.5234862139301077,0.16780051372631197,0.3205442841876167,0.19338892866007484,0.8535834992001406
Bleach_All,NCRMP_GRP,MEA MEAN,356,0.17875933101424868,0.0374546699455334,0.20952567752979526,0.10507847870248978,0.2524401833260076
Bleach_All,NCRMP_GRP,MON CAVE,356,0.6888309131416677,0.11748731853670397,0.17056046163906854,0.45770977983049865,0.9199520464528367
Bleach_All,NCRMP_GRP,PSE CLIV,356,0.6730871733314713,0.15967626698974136,0.23722969819706627,0.35897191179337984,0.9872024348695627
Bleach_All,NCRMP_GRP,PSE STRI,356,0.21379456837071045,0.09231228718053976,0.4317803201645155,0.03219777394691803,0.3953913627945029
Bleach_All,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,PSE CLIV,82,NA,NA,NA,NA,NA
Bleach_All,NCRMP_NA,PSE STRI,82,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,ACR CERV,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,COL NATA,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,DIC STOK,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,DIP LABY,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,EUS FAST,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,MEA MEAN,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,MON CAVE,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,PSE CLIV,121,NA,NA,NA,NA,NA
Bleach_P,MIR_GRP,PSE STRI,121,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,ACR CERV,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,COL NATA,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,DIC STOK,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,DIP LABY,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,EUS FAST,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,MEA MEAN,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,MON CAVE,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,PSE CLIV,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_GRP,PSE STRI,356,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,ACR CERV,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,COL NATA,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,DIC STOK,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,DIP LABY,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,EUS FAST,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,MEA MEAN,82,NA,NA,NA,NA,NA
Bleach_P,NCRMP_NA,MON CAVE,82,NA,NA,NA,NA,NA
