"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETE","METER","RUG"
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"1",0.8
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"2",0.5
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"3",0.7
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"4",0.3
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"5",1.2
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"6",0.8
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"7",0.6
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"8",0.6
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"9",0.6
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"10",0.4
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"11",0.5
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"12",0.3
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"13",1.4
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"14",1.7
"FLK",8055,1,2024,8,25,"SPGR_HR","CFK05",24.45966,-81.84396,1932054,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",5.48639982443521,5.79119981468161,15,"15",1.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"1",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"2",0.8
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"3",0.8
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"4",0.15
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"5",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"6",0.6
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"7",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"8",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"9",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"10",0.2
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"11",0.1
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"12",0.15
"FLK",8056,1,2024,8,25,"SPGR_LR","CFK05",24.46006,-81.84296,1932922,"Lower Keys",8,"Forereef",4,"East_Dry_Rocks",21,NA,1,"CD1",4.2671998634496,4.8767998439424,15,"13",0.1
