analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ACR PALM,121,,2024,0,,,,Disease_all
MIR_GRP,AGA AGAR,121,0,2024,0,,0,0,Disease_all
MIR_GRP,AGA FRAG,121,0,2024,0,,0,0,Disease_all
MIR_GRP,AGA GRAH,121,,2024,0,,,,Disease_all
MIR_GRP,AGA HUMI,121,0,2024,0,,0,0,Disease_all
MIR_GRP,AGA LAMA,121,0,2024,0,,0,0,Disease_all
MIR_GRP,AGA SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,CLA ABRU,121,,2024,0,,,,Disease_all
MIR_GRP,COL NATA,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIC STOK,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIP LABY,121,0,2024,0,,0,0,Disease_all
MIR_GRP,EUS FAST,121,0,2024,0,,0,0,Disease_all
MIR_GRP,FAV FRAG,121,0,2024,0,,0,0,Disease_all
MIR_GRP,HEL CUCU,121,,2024,0,,,,Disease_all
MIR_GRP,ISO RIGI,121,,2024,0,,,,Disease_all
MIR_GRP,ISO SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,MAD AURE,121,,2024,0,,,,Disease_all
MIR_GRP,MAD DECA,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MAD FORM,121,,2024,0,,,,Disease_all
MIR_GRP,MAD SENA,121,,2024,0,,,,Disease_all
MIR_GRP,MAD SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,MAN AREO,121,,2024,0,,,,Disease_all
MIR_GRP,MEA MEAN,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MON CAVE,121,0.0647670558,2024,0.0607575037,0.9380927217,-0.055593091,0.1851272026,Disease_all
MIR_GRP,MUS ANGU,121,,2024,0,,,,Disease_all
MIR_GRP,MYC ALIC,121,,2024,0,,,,Disease_all
MIR_GRP,MYC FERO,121,,2024,0,,,,Disease_all
MIR_GRP,MYC LAMA,121,,2024,0,,,,Disease_all
MIR_GRP,MYC SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,OCU DIFF,121,,2024,0,,,,Disease_all
MIR_GRP,OCU SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,ORB ANCX,121,,2024,0,,,,Disease_all
MIR_GRP,ORB ANNU,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ORB FAVE,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ORB FRAN,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ORB SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,PHY AMER,121,,2024,0,,,,Disease_all
MIR_GRP,POR ASTR,121,0.1637458497,2024,0.0618964177,0.378002971,0.041129523,0.2863621763,Disease_all
MIR_GRP,POR BRAN,121,,2024,0,,,,Disease_all
MIR_GRP,POR COLO,121,,2024,0,,,,Disease_all
MIR_GRP,POR DIVA,121,,2024,0,,,,Disease_all
MIR_GRP,POR FURC,121,0,2024,0,,0,0,Disease_all
MIR_GRP,POR PORI,121,0,2024,0,,0,0,Disease_all
MIR_GRP,POR SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,PSE CLIV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,PSE SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,PSE STRI,121,0,2024,0,,0,0,Disease_all
MIR_GRP,SCO CUBE,121,,2024,0,,,,Disease_all
MIR_GRP,SCO LACE,121,,2024,0,,,,Disease_all
MIR_GRP,SCO SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,SID RADI,121,0.0454256013,2024,0.0516169103,1.1362955887,-0.056827101,0.1476783031,Disease_all
MIR_GRP,SID SIDE,121,0.1890610351,2024,0.0843462091,0.4461321659,0.0219718445,0.3561502256,Disease_all
MIR_GRP,SID SPE.,121,,2024,0,,,,Disease_all
MIR_GRP,SOL BOUR,121,0,2024,0,,0,0,Disease_all
