analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,ACR PALM,121,,2024,0,,,,Disease_all
MIR_GRP,COL NATA,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIC STOK,121,0,2024,0,,0,0,Disease_all
MIR_GRP,DIP LABY,121,0,2024,0,,0,0,Disease_all
MIR_GRP,EUS FAST,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MEA MEAN,121,0,2024,0,,0,0,Disease_all
MIR_GRP,MON CAVE,121,0.0647670558,2024,0.0607575037,0.9380927217,-0.055593091,0.1851272026,Disease_all
MIR_GRP,PSE CLIV,121,0,2024,0,,0,0,Disease_all
MIR_GRP,PSE STRI,121,0,2024,0,,0,0,Disease_all
NCRMP_GRP,ACR CERV,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,ACR PALM,346,,2024,0,,,,Disease_all
NCRMP_GRP,COL NATA,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,DIC STOK,346,0.0393495496,2024,0.0191674311,0.4871067479,0.0016474721,0.0770516272,Disease_all
NCRMP_GRP,DIP LABY,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,EUS FAST,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,MEA MEAN,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,MON CAVE,346,0.0230887174,2024,0.0089068776,0.3857675353,0.0055690097,0.0406084251,Disease_all
NCRMP_GRP,PSE CLIV,346,0,2024,0,,0,0,Disease_all
NCRMP_GRP,PSE STRI,346,0,2024,0,,0,0,Disease_all
