analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,ACR PALM,121,,2024,0,,,,Bleach_all
MIR_GRP,AGA AGAR,121,1.1304909726,2024,0.1440073915,0.1273848222,0.8452134391,1.415768506,Bleach_all
MIR_GRP,AGA FRAG,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,AGA GRAH,121,,2024,0,,,,Bleach_all
MIR_GRP,AGA HUMI,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,AGA LAMA,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,AGA SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,CLA ABRU,121,,2024,0,,,,Bleach_all
MIR_GRP,COL NATA,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,DIC STOK,121,0.1278393408,2024,0.0876935399,0.6859667716,-0.045880886,0.301559568,Bleach_all
MIR_GRP,DIP LABY,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,EUS FAST,121,0.6122623574,2024,0.1273920532,0.2080677534,0.3598996812,0.8646250336,Bleach_all
MIR_GRP,FAV FRAG,121,1,2024,0,0,1,1,Bleach_all
MIR_GRP,HEL CUCU,121,,2024,0,,,,Bleach_all
MIR_GRP,ISO RIGI,121,,2024,0,,,,Bleach_all
MIR_GRP,ISO SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,MAD AURE,121,,2024,0,,,,Bleach_all
MIR_GRP,MAD DECA,121,0.3382080964,2024,0.1447386948,0.4279575101,0.0514818567,0.6249343362,Bleach_all
MIR_GRP,MAD FORM,121,,2024,0,,,,Bleach_all
MIR_GRP,MAD SENA,121,,2024,0,,,,Bleach_all
MIR_GRP,MAD SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,MAN AREO,121,,2024,0,,,,Bleach_all
MIR_GRP,MEA MEAN,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,MON CAVE,121,0.6573953084,2024,0.1241225137,0.1888095521,0.4115095647,0.9032810521,Bleach_all
MIR_GRP,MUS ANGU,121,,2024,0,,,,Bleach_all
MIR_GRP,MYC ALIC,121,,2024,0,,,,Bleach_all
MIR_GRP,MYC FERO,121,,2024,0,,,,Bleach_all
MIR_GRP,MYC LAMA,121,,2024,0,,,,Bleach_all
MIR_GRP,MYC SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,OCU DIFF,121,,2024,0,,,,Bleach_all
MIR_GRP,OCU SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,ORB ANCX,121,,2024,0,,,,Bleach_all
MIR_GRP,ORB ANNU,121,0.2472678785,2024,0.0782712175,0.3165442192,0.0922131994,0.4023225575,Bleach_all
MIR_GRP,ORB FAVE,121,0.2123900062,2024,0.1294379229,0.6094350918,-0.044025522,0.4688055346,Bleach_all
MIR_GRP,ORB FRAN,121,0,2024,0,,0,0,Bleach_all
MIR_GRP,ORB SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,PHY AMER,121,,2024,0,,,,Bleach_all
MIR_GRP,POR ASTR,121,5.9335797793,2024,0.8162652629,0.1375670832,4.3165645804,7.5505949782,Bleach_all
MIR_GRP,POR BRAN,121,,2024,0,,,,Bleach_all
MIR_GRP,POR COLO,121,,2024,0,,,,Bleach_all
MIR_GRP,POR DIVA,121,,2024,0,,,,Bleach_all
MIR_GRP,POR FURC,121,3.8741309039,2024,0.4450922649,0.1148882875,2.9924065552,4.7558552525,Bleach_all
MIR_GRP,POR PORI,121,1.940735347,2024,0.4138703567,0.2132544024,1.120861358,2.760609336,Bleach_all
MIR_GRP,POR SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,PSE CLIV,121,0.3333333333,2024,0.0494114903,0.1482344709,0.2354495516,0.431217115,Bleach_all
MIR_GRP,PSE SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,PSE STRI,121,0.9478957987,2024,0.2317745166,0.2445147631,0.4887522663,1.407039331,Bleach_all
MIR_GRP,SCO CUBE,121,,2024,0,,,,Bleach_all
MIR_GRP,SCO LACE,121,,2024,0,,,,Bleach_all
MIR_GRP,SCO SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,SID RADI,121,0.8121222688,2024,0.1639505797,0.2018791825,0.487337433,1.1369071045,Bleach_all
MIR_GRP,SID SIDE,121,2.3241732734,2024,0.4267991852,0.1836348391,1.4786873747,3.169659172,Bleach_all
MIR_GRP,SID SPE.,121,,2024,0,,,,Bleach_all
MIR_GRP,SOL BOUR,121,1.038127125,2024,0.2823560441,0.2719859999,0.4787819763,1.5974722737,Bleach_all
MIR_GRP,SOL HYAD,121,,2024,0,,,,Bleach_all
MIR_GRP,STE INTE,121,1.5150709386,2024,0.2805730897,0.1851880876,0.9592578088,2.0708840684,Bleach_all
NCRMP_GRP,ACR CERV,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,ACR PALM,346,,2024,0,,,,Bleach_all
NCRMP_GRP,AGA AGAR,346,1.3309983202,2024,0.2822909292,0.212089621,0.7757358844,1.8862607559,Bleach_all
NCRMP_GRP,AGA FRAG,346,0.0965765514,2024,0.0343557112,0.3557355356,0.0289993325,0.1641537702,Bleach_all
NCRMP_GRP,AGA GRAH,346,,2024,0,,,,Bleach_all
NCRMP_GRP,AGA HUMI,346,0.8725266504,2024,0.2639006663,0.3024557085,0.3534376128,1.3916156879,Bleach_all
NCRMP_GRP,AGA LAMA,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,AGA SPE.,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,CLA ABRU,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,COL NATA,346,0.1332706704,2024,0.0410689396,0.3081618748,0.0524886222,0.2140527186,Bleach_all
NCRMP_GRP,DIC STOK,346,0.1319562875,2024,0.0424710617,0.3218570525,0.048416284,0.2154962909,Bleach_all
NCRMP_GRP,DIP LABY,346,0.1291556213,2024,0.0518558846,0.4014992463,0.0271557984,0.2311554442,Bleach_all
NCRMP_GRP,EUS FAST,346,0.6174180661,2024,0.173937808,0.2817180409,0.2752847527,0.9595513795,Bleach_all
NCRMP_GRP,FAV FRAG,346,0.0575052619,2024,0.0792348848,1.3778719071,-0.098348684,0.2133592075,Bleach_all
NCRMP_GRP,HEL CUCU,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,ISO RIGI,346,,2024,0,,,,Bleach_all
NCRMP_GRP,ISO SPE.,346,,2024,0,,,,Bleach_all
NCRMP_GRP,MAD AURE,346,,2024,0,,,,Bleach_all
NCRMP_GRP,MAD DECA,346,0.0705799382,2024,0.0837922745,1.1871967672,-0.094238331,0.2353982077,Bleach_all
NCRMP_GRP,MAD FORM,346,,2024,0,,,,Bleach_all
NCRMP_GRP,MAD SENA,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,MAD SPE.,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,MAN AREO,346,0.622885858,2024,0.1727708747,0.2773716444,0.2830478866,0.9627238294,Bleach_all
NCRMP_GRP,MEA MEAN,346,0.1964449987,2024,0.0384436136,0.1956965757,0.1208269313,0.272063066,Bleach_all
NCRMP_GRP,MON CAVE,346,0.6755246074,2024,0.1214275766,0.1797530027,0.4366782083,0.9143710066,Bleach_all
NCRMP_GRP,MUS ANGU,346,,2024,0,,,,Bleach_all
NCRMP_GRP,MYC ALIC,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,MYC FERO,346,1,2024,0,0,1,1,Bleach_all
NCRMP_GRP,MYC LAMA,346,,2024,0,,,,Bleach_all
NCRMP_GRP,MYC SPE.,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,OCU DIFF,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,OCU SPE.,346,0.1428571429,2024,0.0401696898,0.2811878285,0.0638439069,0.2218703788,Bleach_all
NCRMP_GRP,ORB ANCX,346,,2024,0,,,,Bleach_all
NCRMP_GRP,ORB ANNU,346,6.660874866,2024,1.321993501,0.1984714512,4.0605315483,9.2612181837,Bleach_all
NCRMP_GRP,ORB FAVE,346,1.6441923517,2024,0.664306294,0.4040319816,0.3375108656,2.9508738378,Bleach_all
NCRMP_GRP,ORB FRAN,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,ORB SPE.,346,,2024,0,,,,Bleach_all
NCRMP_GRP,PHY AMER,346,,2024,0,,,,Bleach_all
NCRMP_GRP,POR ASTR,346,1.4285829467,2024,0.3045238419,0.2131649707,0.8295886727,2.0275772207,Bleach_all
NCRMP_GRP,POR BRAN,346,0,2024,0,,0,0,Bleach_all
NCRMP_GRP,POR COLO,346,,2024,0,,,,Bleach_all
NCRMP_GRP,POR DIVA,346,1.0141348374,2024,0.378342355,0.3730690841,0.2699405477,1.7583291272,Bleach_all
NCRMP_GRP,POR FURC,346,0.3744204846,2024,0.1250581045,0.3340044407,0.1284328862,0.6204080831,Bleach_all
NCRMP_GRP,POR PORI,346,0.5662748301,2024,0.10991458,0.1941011222,0.3500743394,0.7824753208,Bleach_all
NCRMP_GRP,POR SPE.,346,0.165430559,2024,0.0975693886,0.5897905997,-0.026487107,0.3573482253,Bleach_all
NCRMP_GRP,PSE CLIV,346,0.6731092839,2024,0.1613646162,0.2397301895,0.3557072686,0.9905112992,Bleach_all
NCRMP_GRP,PSE SPE.,346,,2024,0,,,,Bleach_all
NCRMP_GRP,PSE STRI,346,0.2171960463,2024,0.093284613,0.4294949866,0.0337064755,0.4006856171,Bleach_all
