analysis_group,PRIMARY_SAMPLE_UNIT,SPECIES_CD,MAX_DIAMETER,md_count,YEAR,REGION,SUB_REGION_NR,strat_cora,METERS_COMPLETED,x_psu,y_psu,dens_psu
MIR_GRP,1415,ACR CERV,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,COL NATA,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,DIC STOK,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,DIP LABY,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,EUS FAST,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,MEA MEAN,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,MON CAVE,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,PSE CLIV,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,1415,PSE STRI,NA,0,2022,FLK,11,CFK05,10,0,NA,0
MIR_GRP,9001,ACR CERV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,ACR PALM,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,COL NATA,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,DIC STOK,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,DIP LABY,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,EUS FAST,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,MEA MEAN,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,MON CAVE,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,PSE CLIV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9001,PSE STRI,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,ACR CERV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,ACR PALM,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,COL NATA,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,DIC STOK,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,DIP LABY,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,EUS FAST,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,MEA MEAN,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,MON CAVE,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,PSE CLIV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9003,PSE STRI,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,ACR CERV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,ACR PALM,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,COL NATA,18,1,2022,FLK,8,CFK01,10,1,18,0.1
MIR_GRP,9007,COL NATA,90,1,2022,FLK,8,CFK01,10,1,90,0.1
MIR_GRP,9007,DIC STOK,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,DIP LABY,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,EUS FAST,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,MEA MEAN,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,MON CAVE,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,PSE CLIV,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9007,PSE STRI,NA,0,2022,FLK,8,CFK01,10,0,NA,0
MIR_GRP,9013,ACR CERV,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,ACR PALM,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,COL NATA,9,1,2022,FLK,10,CFK02,10,1,9,0.1
MIR_GRP,9013,COL NATA,12,1,2022,FLK,10,CFK02,10,1,12,0.1
MIR_GRP,9013,COL NATA,25,1,2022,FLK,10,CFK02,10,1,25,0.1
MIR_GRP,9013,COL NATA,42,1,2022,FLK,10,CFK02,10,1,42,0.1
MIR_GRP,9013,COL NATA,62,1,2022,FLK,10,CFK02,10,1,62,0.1
MIR_GRP,9013,COL NATA,95,1,2022,FLK,10,CFK02,10,1,95,0.1
MIR_GRP,9013,DIC STOK,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,DIP LABY,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,EUS FAST,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,MEA MEAN,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,MON CAVE,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,PSE CLIV,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9013,PSE STRI,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9014,ACR CERV,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9014,ACR PALM,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9014,COL NATA,45,1,2022,FLK,10,CFK02,10,1,45,0.1
MIR_GRP,9014,DIC STOK,NA,0,2022,FLK,10,CFK02,10,0,NA,0
MIR_GRP,9014,DIP LABY,NA,0,2022,FLK,10,CFK02,10,0,NA,0
